Name,Type1,Type2,HP,Atk,Def,SpA,SpD,Spe,BST
Slaking,Normal,,150,160,100,95,65,100,670
Dragonite,Dragon,Flying,91,134,95,100,100,80,600
Salamence,Dragon,Flying,95,135,80,110,80,100,600
Garchomp,Dragon,Ground,108,130,95,80,85,102,600
Dragapult,Dragon,Ghost,88,120,75,100,75,142,600
Metagross,Steel,Psychic,80,135,130,95,90,70,600
Archaludon,Steel,Dragon,90,105,130,125,65,85,600
Goodra,Dragon,,90,100,70,110,150,80,600
Hydreigon,Dark,Dragon,92,105,90,125,90,98,600
Hisuian Goodra,Dragon,Steel,80,100,100,110,150,60,600
Tyranitar,Rock,Dark,100,134,110,95,100,61,600
Iron Hands,Fighting,Electric,154,140,108,50,68,50,570
Flutter Mane,Ghost,Fairy,55,55,55,135,135,135,570
Iron Bundle,Ice,Water,56,80,114,124,60,136,570
Archeops,Rock,Flying,75,140,65,112,65,110,567
Arcanine,Fire,,90,110,80,100,80,95,555
Hisuian Arcanine,Fire,Rock,95,115,80,95,80,90,555
Urshifu (Rapid Strike),Fighting,Water,100,130,100,63,60,97,550
Urshifu (Single Strike),Fighting,Dark,100,130,100,63,60,97,550
Gholdengo,Steel,Ghost,87,60,95,133,91,84,550
Kingambit,Dark,Steel,100,135,120,60,85,50,550
Togekiss,Fairy,Flying,85,50,95,120,115,80,545
Snorlax,Normal,,160,110,65,65,110,30,540
Blissey,Normal,,255,10,10,75,135,55,540
Gyarados,Water,Flying,95,125,79,60,100,81,540
Milotic,Water,,95,60,79,100,125,81,540
Kingdra,Water,Dragon,75,95,95,95,95,85,540
Electivire,Electric,,75,123,67,95,85,95,540
Haxorus,Dragon,,76,147,90,60,70,97,540
Porygon-Z,Normal,,85,80,70,135,75,90,535
Annihilape,Fighting,Ghost,110,115,80,50,90,90,535
Crobat,Poison,Flying,85,90,80,70,80,130,535
Noivern,Flying,Dragon,85,70,80,97,80,123,535
Rhyperior,Ground,Rock,115,140,130,55,55,40,535
Swampert,Water,Ground,100,110,90,85,90,60,535
Magnezone,Electric,Steel,70,70,115,130,90,60,535
Duraludon,Steel,Dragon,70,95,115,120,50,85,535
Lapras,Water,Ice,130,85,80,85,95,60,535
Tangrowth,Grass,,100,100,125,110,50,50,535
Infernape,Fire,Fighting,76,104,71,104,71,108,534
Charizard,Fire,Flying,78,84,78,109,85,100,534
Typhlosion,Fire,,78,84,78,109,85,100,534
Delphox,Fire,Psychic,75,69,72,114,100,104,534
Hisuian Typhlosion,Fire,Ghost,73,84,78,119,85,95,534
Blaziken,Fire,Fighting,80,120,70,110,70,80,530
Mamoswine,Ice,Ground,110,130,80,70,60,80,530
Aggron,Steel,Rock,70,110,180,60,60,50,530
Basculegion,Water,Ghost,120,112,65,80,75,78,530
Empoleon,Water,Steel,84,86,88,111,101,60,530
Cinderace,Fire,,80,116,75,65,75,119,530
Skeledirge,Fire,Ghost,104,75,100,110,75,66,530
Blastoise,Water,,79,83,100,85,105,78,530
Inteleon,Water,,70,85,65,125,65,120,530
Dondozo,Water,,150,100,115,65,65,35,530
Walrein,Ice,Water,110,80,90,95,90,65,530
Greninja,Water,Dark,72,95,67,103,71,122,530
Primarina,Water,Fairy,80,74,74,126,116,60,530
Sceptile,Grass,,70,85,65,105,85,120,530
Meowscarada,Grass,Dark,76,110,70,81,70,123,530
Alolan Exeggutor,Grass,Dragon,95,105,85,125,75,45,530
Exeggutor,Grass,Psychic,95,95,85,125,75,55,530
Samurott,Water,,95,100,85,108,70,70,528
Hisuian Samurott,Water,Dark,90,108,80,100,65,85,528
Serperior,Grass,,75,75,95,75,95,113,528
Lucario,Fighting,Steel,70,110,70,115,70,90,525
Venusaur,Grass,Poison,80,82,83,100,100,80,525
Glimmora,Rock,Poison,83,55,90,130,81,86,525
Hippowdon,Ground,,108,112,118,68,72,47,525
Probopass,Rock,Steel,60,55,145,75,150,40,525
Dusknoir,Ghost,,45,100,135,65,135,45,525
Flareon,Fire,,65,130,60,95,110,65,525
Armarouge,Fire,Psychic,85,60,100,125,80,75,525
Ceruledge,Fire,Ghost,75,125,80,60,100,85,525
Vaporeon,Water,,130,65,60,110,95,65,525
Meganium,Grass,,80,82,100,83,100,80,525
Leafeon,Grass,,65,110,130,60,65,95,525
Torterra,Grass,Ground,95,109,105,75,85,56,525
Jolteon,Electric,,65,65,60,110,95,130,525
Espeon,Psychic,,65,65,60,130,95,110,525
Glaceon,Ice,,65,60,110,130,95,65,525
Umbreon,Dark,,95,65,110,60,130,65,525
Sylveon,Fairy,,95,65,65,110,130,60,525
Luxray,Electric,,80,120,79,95,79,70,523
Tyrantrum,Rock,Dragon,82,121,119,69,59,71,521
Aurorus,Rock,Ice,123,77,72,99,92,58,521
Farigiraf,Normal,Psychic,120,90,70,110,70,60,520
Flygon,Ground,Dragon,80,100,80,80,80,100,520
Chandelure,Ghost,Fire,60,55,90,145,90,80,520
Starmie,Water,Psychic,60,75,85,100,85,115,520
Mr. Rime,Ice,Psychic,80,85,75,110,100,70,520
Krookodile,Ground,Dark,95,117,80,65,70,92,519
Gallade,Psychic,Fighting,68,125,65,65,115,80,518
Gardevoir,Psychic,Fairy,68,65,65,125,115,80,518
Dhelmise,Ghost,Grass,70,131,100,86,90,40,517
Porygon2,Normal,,85,80,90,105,95,60,515
Lickilicky,Normal,,110,85,95,80,95,50,515
Aerodactyl,Rock,Flying,80,105,65,60,75,130,515
Roserade,Grass,Poison,60,70,65,125,105,90,515
Tentacruel,Water,Poison,80,70,65,80,120,100,515
Braviary,Normal,Flying,100,123,75,57,75,80,510
Mienshao,Fighting,,65,125,60,95,60,105,510
Poliwrath,Water,Fighting,90,95,95,70,90,70,510
Gliscor,Ground,Flying,75,95,125,45,75,95,510
Mandibuzz,Dark,Flying,110,65,105,55,95,80,510
Hisuian Braviary,Psychic,Flying,110,83,70,112,70,65,510
Sneasler,Fighting,Poison,80,130,60,40,80,120,510
Steelix,Steel,Ground,75,85,200,55,65,30,510
Ampharos,Electric,,90,75,85,115,90,55,510
Hatterene,Psychic,Fairy,57,90,95,136,103,29,510
Weavile,Dark,Ice,70,120,65,45,85,125,510
Zoroark,Dark,,60,105,60,120,60,105,510
Grimmsnarl,Dark,Fairy,95,120,65,95,75,60,510
Excadrill,Ground,Steel,110,135,60,50,65,88,508
Polteageist,Ghost,,60,65,65,134,114,70,508
Tinkaton,Fairy,Steel,85,75,77,70,105,94,506
Machamp,Fighting,,90,130,80,65,85,55,505
Honchkrow,Dark,Flying,100,125,52,105,52,71,505
Nidoqueen,Poison,Ground,90,92,87,75,85,76,505
Nidoking,Poison,Ground,81,102,77,85,75,85,505
Ninetales,Fire,,73,76,75,81,100,100,505
Alolan Ninetales,Ice,Fairy,73,67,75,81,100,109,505
Ursaring,Normal,,90,130,75,75,75,55,500
Bewear,Normal,Fighting,120,125,80,55,60,60,500
Hawlucha,Fighting,Flying,78,92,75,74,63,118,500
Flamigo,Flying,Fighting,82,115,74,75,64,90,500
Heracross,Bug,Fighting,80,125,75,40,95,85,500
Scyther,Bug,Flying,70,110,80,55,80,105,500
Muk,Poison,,105,105,75,65,100,50,500
Drapion,Poison,Dark,70,90,110,60,75,95,500
Gengar,Ghost,Poison,60,65,60,130,75,110,500
Donphan,Ground,,90,120,120,60,60,50,500
Claydol,Ground,Psychic,60,70,105,70,120,75,500
Leavanny,Bug,Grass,75,103,80,70,80,92,500
Scizor,Bug,Steel,70,130,100,55,80,65,500
Aegislash,Steel,Ghost,60,50,140,50,140,60,500
Copperajah,Steel,,122,130,69,80,69,30,500
Bronzong,Steel,Psychic,67,89,116,79,116,33,500
Rapidash,Fire,,65,100,70,80,80,105,500
Golduck,Water,,80,82,78,95,80,85,500
Politoed,Water,,90,75,75,90,100,70,500
Wailord,Water,,170,90,45,90,45,60,500
Alakazam,Psychic,,55,50,45,135,95,120,500
Galarian Rapidash,Psychic,Fairy,65,100,70,80,80,105,500
Alolan Muk,Poison,Dark,105,105,75,65,100,50,500
Talonflame,Fire,Flying,78,81,71,74,69,126,499
Drifblim,Ghost,Flying,150,80,44,90,54,80,498
Pangoro,Fighting,Dark,95,124,78,69,71,58,495
Corviknight,Flying,Steel,98,87,105,53,85,67,495
Toxapex,Poison,Water,50,63,152,53,142,35,495
Golem,Rock,Ground,80,120,130,55,65,45,495
Rampardos,Rock,,97,165,60,65,50,58,495
Omastar,Rock,Water,70,60,125,115,70,55,495
Kabutops,Rock,Water,60,115,105,65,70,80,495
Carracosta,Water,Rock,74,108,133,83,65,32,495
Bastiodon,Rock,Steel,60,52,168,47,138,30,495
Armaldo,Rock,Bug,75,125,100,70,80,45,495
Cradily,Rock,Grass,86,81,97,81,107,43,495
Accelgor,Bug,,80,70,40,100,60,145,495
Escavalier,Bug,Steel,70,135,105,60,105,20,495
Mismagius,Ghost,,60,60,60,105,105,105,495
Floatzel,Water,,85,105,55,85,50,115,495
Dragalge,Poison,Dragon,65,75,90,97,123,44,494
Kangaskhan,Normal,,105,95,80,40,80,90,490
Tauros,Normal,,75,100,95,40,70,110,490
Miltank,Normal,,95,80,105,40,70,100,490
Dubwool,Normal,,72,80,100,60,90,88,490
Altaria,Dragon,Flying,75,70,90,70,105,80,490
Weezing,Poison,,65,90,120,85,70,60,490
Vileplume,Grass,Poison,75,80,85,110,90,50,490
Victreebel,Grass,Poison,80,105,65,100,70,70,490
Galarian Weezing,Poison,Fairy,65,90,120,85,70,60,490
Bisharp,Dark,Steel,65,125,100,60,70,70,490
Barraskewda,Water,,61,123,60,60,50,136,490
Slowbro,Water,Psychic,95,75,110,100,80,30,490
Slowking,Water,Psychic,95,75,80,100,110,30,490
Bellossom,Grass,,75,80,95,90,100,50,490
Electrode,Electric,,60,50,70,80,80,150,490
Electabuzz,Electric,,65,83,57,95,85,105,490
Hisuian Electrode,Electric,Grass,60,50,70,80,80,150,490
Gothitelle,Psychic,,70,55,95,95,110,65,490
Reuniclus,Psychic,,110,65,75,125,85,30,490
Galarian Slowbro,Poison,Psychic,95,100,95,100,70,30,490
Galarian Slowking,Poison,Psychic,95,65,80,110,110,30,490
Ferrothorn,Grass,Steel,74,94,131,54,116,20,489
Lycanroc,Rock,,75,115,65,55,65,112,487
Staraptor,Normal,Flying,85,120,70,50,60,100,485
Rhydon,Ground,Rock,105,130,120,45,45,40,485
Relicanth,Water,Rock,100,90,130,45,65,55,485
Spiritomb,Ghost,Dark,50,92,108,92,108,35,485
Drednaw,Water,Rock,90,115,90,48,68,74,485
Raichu,Electric,,60,90,55,90,80,110,485
Alolan Raichu,Electric,Psychic,60,85,50,95,85,110,485
Comfey,Fairy,,51,52,90,82,110,100,485
Durant,Bug,Steel,58,109,112,48,48,109,484
Cofagrigus,Ghost,,58,50,145,95,105,30,483
Hypno,Psychic,,85,73,70,73,115,67,483
Clefable,Fairy,,95,70,73,95,90,60,483
Malamar,Dark,Psychic,86,92,88,68,75,73,482
Lopunny,Normal,,65,76,84,54,96,105,480
Komala,Normal,,65,115,65,75,95,65,480
Palossand,Ghost,Ground,85,75,110,100,75,35,480
Froslass,Ice,Ghost,70,80,70,80,70,110,480
Darmanitan,Fire,,105,140,55,30,55,95,480
